ARREST_PD_ DEPT,RACE,ARREST_DATE_TIME,ARREST_LOCATION,CHARGE,,,
BPD,WHITE HISPANIC,1/7/12 11:45,Waldemar Ave / Rt 1A North,"Poss. W/I to Distribute, Class A",,,
BPD,WHITE NON-HISPANIC,1/7/12 12:34,Congress Street,Distribution of Class E,,,
BPD,WHITE NON-HISPANIC,1/7/12 14:47,Jamaica Way,"Poss. W/I to Distribute, Class D",,,
BPD,WHITE NON-HISPANIC,1/7/12 14:47,Jamaica Way,"Poss. W/I to Distribute, Class D",,,
BPD,WHITE NON-HISPANIC,1/7/12 17:00,Marion/White St,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/7/12 17:25,Centre St,Possession of Class A,,,
BPD,BLACK NON-HISPANIC,1/7/12 17:45,Annunciation Rd,Possession of Class A,,,
BPD,BLACK NON-HISPANIC,1/7/12 21:30,Norfolk St/New England Av,"Distribution of Class D, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/7/12 22:28,Russell St,"Poss. W/I to Distribute, Class B, Within 1000' School Zone",,,
BPD,WHITE NON-HISPANIC,1/7/12 22:28,Russell St,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/7/12 22:45,Lawrence Av @ Blue Hill Av,Possession of Class B,,,
BPD,BLACK HISPANIC,1/8/12 5:25,Columbus Ave/ Malcolm X Blvd,Possession of Class B,,,
BPD,BLACK HISPANIC,1/8/12 11:10,Harvard St / Hudson St,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/8/12 14:06,Congress Street,Possession of Class E,,,
BPD,WHITE HISPANIC,1/8/12 18:34,Parker St,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/8/12 22:50,Bellevue St,Possession of Class E,,,
BPD,BLACK NON-HISPANIC,1/9/12 0:55,Norfolk St,Possession of Class B,,,
BPD,WHITE NON-HISPANIC,1/9/12 10:00,Holmes Ave,Possession of Class B,,,
BPD,BLACK HISPANIC,1/9/12 13:20,Norton St,Possession of Class D,,,
BPD,WHITE HISPANIC,1/9/12 13:25,Central Sq.,"Poss. W/I to Distribute, Class B, Within 100' Play Ground",,,
BPD,WHITE NON-HISPANIC,1/9/12 14:16,Washington St,Possession of Class A,,,
BPD,BLACK NON-HISPANIC,1/9/12 17:30,Regina Rd,"Poss. W/I to Distribute, Class B, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/9/12 17:30,Regina Rd,"Poss. W/I to Distribute, Class B, Within 1000' School Zone",,,
BPD,BLACK HISPANIC,1/9/12 17:48,Sawyer Ave,"Poss. W/I to Distribute, Class B",,,
BPD,BLACK HISPANIC,1/9/12 17:48,Sawyer Ave,"Poss. W/I to Distribute, Class B",,,
BPD,BLACK NON-HISPANIC,1/9/12 17:48,Sawyer Ave,"Poss. W/I to Distribute, Class B",,,
BPD,BLACK NON-HISPANIC,1/9/12 18:09,Brookledge St,Distribution of Class D,,,
BPD,WHITE HISPANIC,1/9/12 18:34,Bennington St,"Poss. W/I to Distribute, Class D, Within 100' Play Ground",,,
ARREST_PD_ DEPT,RACE,ARREST_DATE_TIME,ARREST_LOCATION,CHARGE,,,
BPD,WHITE HISPANIC,1/9/12 18:34,Leverett Ave /Lawn Av,"Poss. W/I to Distribute, Class D, Within 1000' School Zone",,,
BPD,BLACK NON-HISPANIC,1/9/12 18:35,Mattapan St,Possession of Class B,,,
BPD,BLACK NON-HISPANIC,1/9/12 18:45,Shawmut Ave,"Poss. W/I to Distribute, Class B",,,
BPD,WHITE NON-HISPANIC,1/9/12 19:10,Playstead Pk,Possession of Class A,,,
BPD,WHITE HISPANIC,1/10/12 12:05,Boylston Street,Conspiracy to Violate Drug Laws,,,
BPD,WHITE NON-HISPANIC,1/10/12 14:00,Maverick Sq / Sumner St,Possession of Class E,,,
BPD,WHITE NON-HISPANIC,1/10/12 14:20,Maverick St/Sumner St,"Poss. W/I to Distribute, Class D",,,
BPD,WHITE NON-HISPANIC,1/10/12 18:45,Harvard Ave,Possession of Class B,,,
BPD,BLACK NON-HISPANIC,1/10/12 19:20,Talbot Ave @ Dorchester Ave,Distribution of Class B,,,
